Titulo,Subtitulo,Link
"Moraes manda apreender armas, passaporte e bens de Carla Zambelli",Deputada é suspeita de pagar hacker da Lava Jato para atacar Judiciário,https://g1.globo.com/politica/noticia/2023/08/02/moraes-mandou-pf-apreender-passaporte-armas-e-objetos-acima-de-r-10-mil-de-zambelli-veja-detalhes.ghtml
Hacker disse à PF que Bolsonaro perguntou se ele poderia invadir urnas,"Prisão de hacker, buscas em gabinete de Zambelli: entenda a operação",https://g1.globo.com/politica/blog/camila-bomfim/post/2023/08/02/hacker-da-vaza-jato-diz-a-pf-que-se-reuniu-com-bolsonaro-no-alvorada-para-tratar-de-urnas-eletronicas.ghtml
"Polícia faz buscas por possível atirador no Senado dos EUA, diz agência",,https://g1.globo.com/mundo/noticia/2023/08/02/eua-policia-faz-buscas-por-possivel-atirador-no-senado.ghtml
Smart Hospital vence leilão para gerir a maior emergência de saúde do RJ,,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/08/02/consorcio-smart-hospital-vence-leilao-para-parceria-publico-privada-do-complexo-hospitalar-souza-aguiar.ghtml
GLOBONEWS AO VIVO: assista às últimas notícias e análises,,https://g1.globo.com/globonews/ao-vivo/globonews-ao-vivo.ghtml
Nº de mortos em operação da PM no litoral de SP chega a 16,"Morto pela polícia vivia na rua e era dependente químico, diz pessoa próxima",https://g1.globo.com/sp/santos-regiao/noticia/2023/08/02/ssp-confirma-16-mortes-em-operacao-da-policia-no-litoral-de-sp.ghtml
Operação policial no Rio deixa 10 mortos; vídeos mostram tiros,"Mortos ostentavam joias e armas nas redes sociais, diz polícia",https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/08/02/policias-militar-e-civil-fazem-operacao-no-complexo-da-penha-moradores-relatam-intenso-confronto.ghtml
Como funciona o programa de livros didáticos que SP abandonou,Material próprio e 100% digital: o que deve mudar em escolas de SP,https://g1.globo.com/educacao/noticia/2023/08/02/como-funciona-o-pnld-programa-de-livros-didaticos-abandonado-pela-rede-estadual-de-sao-paulo.ghtml
